Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
Acuity Brands Lighting,Verjure,Pro Series,"VPS 3 FRSP [All Voltages] ACL [All Options, excluding AO] *field adjustable spatial distribution",AC,35,8.4,2.79,,5,48.0 in,2022-08-01,120,480,No,TRUE,2.45,861,0,860.6,145,270,445,14,,,2.39,850,145,270,445,14,,,351,351,0,0.9,20,355.05,120,0.965,11.7,,"0-10V Other Protocol, Bluetooth - Manufacturer Specific, Nlight"
HortiBest,HortiBest,Moray-T18 Grow Light,MO-T-18A11 K14 23 D1,AC,45,1.22,1.5,,5,44.4 in,2022-08-15,120,277,No,TRUE,2.45,44,0,43.9,13,15,16,2,,,2.45,44,13,15,16,2,,,18,18,0,0.928,12.3,17.92,120,0.928,12.3,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Supreme Energy Technology INC.,SUPREME ENERGY TECHNOLOGY INC,LED GROWTH LIGHT,"SETI-GL10E444S[blank][blank,H]",AC,35,48,2.6,,5,48.0 in,2022-08-24,120,277,No,TRUE,2.44,2449,,,422,968,1059,148,,,2.44,2449,422,968,1059,148,,,1005,1005,0,0.999,4,1005,120,0.974,7.7,,0-10V Other Protocol
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GL02-960WF1EA1-aISgh,AC,45,42.8,4.26,,5,58.8 in,2024-04-10,120,277,No,TRUE,2.44,2396,239.6,2396.3,304,972,1121,66,,,2.44,2396,304,972,1121,66,,,983,983,96,0.9,15,983.68,120,0.937,8,,0-10V IEC60929 Annex E
Rayonled Lighting Systems Inc.,Rayonled,Horticultural Luminaire,GLMF-800E-347,AC,40,42,4.5,,5,45.6 in,2023-05-15,277,480,Yes,TRUE,2.44,1967,0,1950,376,828,763,121,,,2.44,1967,376,828,763,121,,,805,720,0,0.992,4,804.9,277,0.968,11.7,,0-10V IEC60929 Annex E
Fluence Bioengineering,Fluence,VYPR 2p,"VR-2P-I-[1,6]-[06,15]-[N5P,N6P,L7P,PTP]-[03,06]-[S,U,P]-[S,B20]",AC,35,2.91,3.29,,5,46.8 in,2019-04-26,120,480,No,TRUE,2.44,1611,,,293,667,651,41,1652,2.5,2.44,1611,293,667,651,41,1652,2.5,661,661,0,0.966,7.6,661.3,120,0.966,7.6,,0-10V Other Protocol
"Shenzhen Xinshengyang Opto-electronics Technology Co.,Ltd.",Luxgrow,LPTC series Horticultural,LPTC640S-TT,AC,45,5.98,7.72,,5,38.4 in,2024-02-22,100,277,No,TRUE,2.44,1550,0,1550,192,589,770,59,,,2.44,1550,192,589,770,59,,,637,637,0,0.998,6,636.5,120,0.998,6,,0-10V IEC60929 Annex E
Growgenics LLC,Growgenics,Horticultural Luminaires,GHP-640W-1,AC,45,5.98,7.72,,5,38.4 in,2024-02-29,100,277,No,TRUE,2.44,1550,0,1550,192,589,770,59,,,2.44,1550,192,589,770,59,,,637,637,0,0.998,6,636.5,120,0.954,9.7,,0-10V IEC60929 Annex E
"Guangzhou Yuhui Lighting Industrial Co.,Ltd.",Zeestarled,LED Horticultural Luminaires,YHGL102824W,AC,50,1.1,1.1,,5,46.8 in,2024-05-28,100,240,No,,2.44,60,0,59.8,17,26,17,1,,,2.44,60,16,26,17,1,,,24,24,0,0.966,17.9,24.54,100,0.96,19,,
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BW4-1K-STD-JVG-RST1-S",AC,45,14.6,4.1,,5,39.6 in,2023-03-28,277,480,No,TRUE,2.43,2479,,,422,1067,1011,55,,,2.43,2479,422,1067,1011,55,,,1020,1020,4.5,0.992,4,1020,277,0.992,4.1,,0-10V Other Protocol
"Shenzhen Xinshengyang Opto-electronics Technology Co.,Ltd.",Luxgrow,LPTC series Horticultural,LPTC800S-TT,AC,45,7.56,8.19,,5,38.4 in,2024-02-22,100,277,No,TRUE,2.43,1978,0,1978,279,754,946,75,,,2.43,1978,279,754,946,75,,,815,815,0,0.999,6,815.1,120,0.999,5.9,,0-10V IEC60929 Annex E
Growgenics LLC,Growgenics,Horticultural Luminaires,GHP-800W-1,AC,45,7.56,8.19,,5,38.4 in,2024-02-29,100,277,No,TRUE,2.43,1978,0,1978,279,754,946,75,,,2.43,1978,279,754,946,75,,,815,815,0,0.999,6,815.1,120,0.957,10.3,,0-10V IEC60929 Annex E
Fluence Bioengineering,Fluence,SPYDR,"SR-2X47-I-[LV,LVG]-[Blank,XXX]-[S,B,R]",AC,35,42.8,4,,,46.8 in,2019-04-26,120,277,No,TRUE,2.43,871,,,146,348,377,24,895,2.5,2.43,871,146,348,377,24,895,2.5,358,337,1,0.974,9.8,358,120,0.974,9.8,,0-10V Other Protocol
LED Smart Inc.,Grow3,,GRW-120-48-300-HS-S-C,AC,40,,,,5,,2023-03-20,100,277,Yes,TRUE,2.43,712,0,711.5,55,129,528,7,,,2.42,712,55,129,528,7,,,294,294,0,0.995,10,293.5,120,0.984,10.4,,Bluetooth Sig MESH and MMDL Layers
Visionaire Lighting,Rapid Grow,RPG-1200,"RPG-1200-GH-[UNV, 8, 5]-[UM, CMB]-[FG, BK, GY,WH,RD,BL]-[VWC, DLH]-[RJ12, RJ14, 10CD, 15CD], [N5, N6, NL7, NL24, NL8]",AC,40,6.5,1.1,,5,50.4 in,2023-07-26,120,480,No,TRUE,2.42,3043,0,3000,445,1084,1513,58,3101,2.46,2.41,3043,445,1084,1513,58,3101,2.46,1259,1200,1.2,0.96,10,1259,120,0.985,7.9,,"Wi-Fi, 0"
Thrive Agritech,Thrive Agritech,Pinnacle HP,PCL-840W-FS2,AC,35,8,4.4,,5,43.2 in,2024-08-08,120,277,No,TRUE,2.42,2123,212.3,2123.3,328,833,962,51,2173,2.48,2.42,2123,328,833,962,51,2174,2.65,877.2,877.2,87.7,0.976,10,819.82,120,0.996,8.5,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Hydrofarm LLC,PHOTOBIO,850W LED Grow Fixture,PTB8850LS4X,AC,40,14.21,3.06,,5,24.0 in,2021-11-30,120,277,No,TRUE,2.42,2116,0,2116.2,294,934,888,38,,,2.4,2116,294,937,902,40,,,873,873,0,0.967,8,872.81,120,0.967,8.2,,0-10V IEC60929 Annex E
"Shenzhen Xinshengyang Opto-electronics Technology Co.,Ltd.",Luxgrow,LPG series Horticultural,LPG8S-OSL,AC,45,12.42,5.12,,5,26.4 in,2023-03-06,120,277,No,TRUE,2.42,1983,,,469,640,875,70,,,2.42,1983,469,640,875,70,,,818,818,0,0.999,2,818.4,120,0.957,9.8,,0-10V IEC60929 Annex E
Rayonled Lighting Systems Inc.,Rayonled,Horticultural Lighting Fixture,GLMF-720W-347V,AC,45,41.97,3.74,,5,48.0 in,2023-06-30,277,480,No,TRUE,2.42,1692,0,1691.6,311,705,688,45,,,2.42,1692,311,705,688,45,,,699,699,0,0.9,9,698.7,277,0.974,9.7,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V)"
BAIYI LIGHTING (SHANGHAI) HOLDINGS LIMITED,BAIYILED,,BY-ZW21720U,AC,45,41.97,3.74,,5,48.0 in,2023-04-27,277,480,No,TRUE,2.42,1692,0,1691.6,311,705,688,45,,,2.42,1692,311,705,688,45,,,699,699,0,0.9,9,698.7,277,0.974,9.7,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V)"
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,Top Light 660W,001-TL660305312-00,AC,40,3.2,5.4,,5,48.0 in,2024-06-11,110,277,No,TRUE,2.42,1652,1652,1652,236,640,778,128,,,2.42,1652,236,640,778,128,,,660,660,660,0.972,5.9,683.5,120,0.972,5.9,,0-10V Other Protocol
Fluence Bioengineering,Fluence,VYPR 2p,"VR-2P-G-[1,6]-[06,15]-[N5P,N6P,L7P,PTP]-[03,06]-[S,U,P]-[S,B20]",AC,35,2.91,3.29,,5,46.8 in,2019-04-26,120,480,No,TRUE,2.42,1591,,,337,672,582,35,1625,2.47,2.42,1591,337,672,582,35,1625,2.47,657,657,0,0.96,7,657.2,120,0.96,7.4,,0-10V Other Protocol
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,Flora 260W,001-FL260305312-00,AC,40,19,2,,5,44.4 in,2021-02-20,110,277,No,TRUE,2.42,647,0,646.5,104,266,278,16,,,2.42,647,104,266,278,16,,,260,260,0,0.961,9.9,267.1,277,0.961,9.9,,0-10V IEC60929 Annex E
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BW4-1K-150-JVG-RST1-S",AC,45,14.6,4.1,,5,39.6 in,2023-03-28,277,480,No,TRUE,2.41,2463,,,415,1060,1008,55,,,2.41,2463,415,1060,1008,55,,,1020,1020,4.5,0.957,9,1023,277,0.957,8.8,,0-10V Other Protocol
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LED-480I Pro,AC,40,43.2,3.12,,5,48.0 in,2024-08-06,110,277,Yes,TRUE,2.41,1156,110,1100,173,515,469,27,,,2.4,1156,173,515,469,27,,,480,480,70,0.994,4,480.1,120,0.994,4.5,,0-10V ANSI C137.1 (8V)
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LED-480I Pro,AC,40,43.2,3.12,,5,48.0 in,2024-08-06,110,277,Yes,TRUE,2.41,1156,110,1100,173,515,469,27,,,2.4,1156,173,515,469,27,,,480,480,70,0.994,4,480.1,120,0.994,4.5,,0-10V ANSI C137.1 (8V)
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,Top Light 330W,001-TL330305312-00,AC,40,3.2,5.4,,5,24.0 in,2022-08-22,110,277,No,TRUE,2.41,796,0,796.2,131,326,340,21,,,2.41,796,131,326,340,21,,,330,330,0,0.98,8.2,330.2,120,0.98,8.2,,0-10V IEC60929 Annex E
Fluence Bioengineering,Fluence,SPYDR,"SR-2X33-I-LVG-(Blank,XXX)-(S,B,R)",AC,35,42.8,4,,5,32.4 in,2021-11-29,120,277,No,TRUE,2.41,705,0,704.8,120,278,306,21,726,,2.41,705,120,278,306,21,726,,292,292,0,0.94,14,291.99,120,0.94,14,,0-10V Other Protocol
Hydrofarm LLC,PHOTOBIO,PHOTOBIO · VP,PTB1130VEXX,AC,40,1.38,1.38,,5,46.8 in,2024-07-18,100,277,No,,2.41,78,77.5,77.5,13,21,44,8,,,2.41,78,13,21,43,7,,,30,30,30,0.911,17.5,32.18,120,0.911,17.5,,
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,Horti-Tube 22W,001-HT022305000-00,AC,40,1.1,1.1,,5,46.8 in,2024-06-06,100,277,No,,2.41,53,53,53,8,21,25,4,,,2.41,53,8,20,25,4,,,22,22,22,0.927,16,22,120,0.927,16,,
Hawthorne Gardening Company,Gavita,Gavita® CT 1930e LED 120-277 V,HGC906740,AC,40,11.8,3.9,,5,28.8 in,2020-11-21,208,277,No,TRUE,2.4,1901.9,,,424.2,597.1,888.8,26.1,,,2.4,1901.9,424.2,597.1,888.8,26.1,,,792.94,792.9,2.6,0.984,9.3,792.94,208,0.952,9.3,,"0-10V Other Protocol, 0-10V EIA-485"
Hawthorne Gardening Company,Gavita,Gavita CT 1930e LED 277-480V,HGC906751,AC,40,11.8,3.9,,5,28.8 in,2022-01-25,277,480,No,TRUE,2.4,1903,,,414,593,904,27,,,2.4,1902,414,592,904,27,,,791,791,2.6,0.96,9.7,791.12,277,0.96,9.7,,"0-10V Other Protocol, 0-10V EIA-485"
Acuity Brands Lighting,Verjure,Arize Element L1000,VAE1 BRH SEFY [ALL VOLTAGES] GZ10 XWD [All Options],AC,40,7,2.93,,5,28.8 in,2021-11-09,120,480,No,TRUE,2.4,1712,,,419,638,656,14,1727,2.42,2.4,1712,419,638,656,14,1727,2.42,712,712,0.5,0.975,7.3,712.29,120,0.975,7.3,,0-10V Other Protocol
JumpLights,JumpLights,Prism 340,PR340-277,AC,40,3,4,,5,80.4 in,2024-11-27,240,277,No,TRUE,2.4,829,0,828,189,357,282,16,847,2.45,,,,,,,,,345.7,345.7,2.2,0.97,7.1,,,,,,0-10V IEC60929 Annex E
JumpLights,JumpLights,Catalyst 340,CA340-277,AC,40,3,4,,5,80.4 in,2024-11-27,240,277,No,TRUE,2.4,829,0,828,189,357,282,16,847,2.45,,,,,,,,,345.7,345.7,2.2,0.97,7.1,,,,,,0-10V IEC60929 Annex E
JumpLights,JumpLights,Catalyst 340,CA340-480,AC,40,3,4,,5,80.4 in,2024-11-27,277,480,No,TRUE,2.4,829,0,828,189,357,282,16,847,2.45,,,,,,,,,345.7,345.7,2.2,0.97,7.1,,,,,,0-10V IEC60929 Annex E
JumpLights,JumpLights,Prism 340,PR340-480,AC,40,3,4,,5,80.4 in,2024-11-27,277,480,No,TRUE,2.4,829,0,828,189,357,282,16,847,2.45,,,,,,,,,345.7,345.7,2.2,0.97,7.1,,,,,,0-10V IEC60929 Annex E
Grow Pros Solutions,GROW PROS SOLUTIONS,GPS-UCL-250W,GPS-UCL-250W,AC,40,2.87,3.19,,5,91.2 in,2024-04-03,120,277,No,TRUE,2.4,632,150,631.5,110,269,253,23,,,2.4,632,110,269,252,23,,,263,262.9,62.5,0.998,1.9,262.9,262.9,0.998,1.9,,0-10V IEC60929 Annex E
Best Lighting Products,CABAtech,,CTV-185-U-ST-10U,AC,40,13.03,2.7,,5,40.8 in,2024-09-24,120,277,No,TRUE,2.4,395,0,394.6,79,180,136,10,406,2.4,2.4,395,79,180,136,10,406,2.4,166.06,160,0,0.9,2.3,166.065,120,0.972,5.9,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (9V)"
Craft Farmer,CraftFarmer,UNDERCANOPY LIGHT,UNDR-120,AC,40,3.64,2.73,,7,45.6 in,2024-08-27,120,277,No,TRUE,2.4,288,0,288,28,43,217,59,,,2.5,307,31,46,231,64,,,120,120,0,0.9,20,121.9,120,0.933,13.6,,0-10V ANSI C137.1 (9V)
Craft Farmer,CraftFarmer,UNDERCANOPY LIGHT,UNDR-120,AC,40,3.64,2.73,,7,45.6 in,2024-08-27,120,277,No,TRUE,2.4,288,0,288,28,43,217,59,,,2.5,307,31,46,231,64,,,120,120,0,0.9,20,121.9,120,0.933,13.6,,0-10V ANSI C137.1 (9V)
Shiny SunShine Ltd.,CULTI LIGHTS,AGRICULTURAL HYDROPONICS EQUIPMENT (LED grow light),CL-GL05-802,AC,40,46.46,1.38,,5,94.8 in,2024-07-30,100,277,No,TRUE,2.39,1283,0,1283,234,526,523,65,,,2.39,1283,234,526,523,65,,,537.3,537.3,0,0.997,1.6,537.3,120,0.954,7.5,,0-10V ANSI C137.1 (9V)
Shiny SunShine Ltd.,CULTI LIGHTS,AGRICULTURAL HYDROPONICS EQUIPMENT (LED grow light),CL-GL05-802,AC,40,46.46,1.38,,5,94.8 in,2024-07-30,100,277,No,TRUE,2.39,1283,0,1283,234,526,523,65,,,2.39,1283,234,526,523,65,,,537.3,537.3,0,0.997,1.6,537.3,120,0.954,7.5,,0-10V ANSI C137.1 (9V)
Fluence Bioengineering,Fluence,VYPR 3x,"VR-3X-BP6-[LVG,HVG]-[S,B]",AC,40,2.91,3.23,,5,24.0 in,2021-05-28,120,480,No,TRUE,2.39,873,,,194,362,317,18,,,2.39,873,194,362,317,18,,,365,362,1,0.933,11,365,120,0.93,11.3,,0-10V Other Protocol
Shenzhen Number Energy Saving Corporation,NANOLUX,,LEDex-F135,AC,35,2.64,2.64,,5,45.6 in,2024-06-18,120,277,No,TRUE,2.39,322,322.2,322.1,58,132,133,7,,,2.39,322,58,132,133,7,,,135,135,13.5,0.969,5.9,134.7,120,0.969,5.9,,0-10V IEC60929 Annex E
Agrify,AGRIFY,Model O Premium,AOPR8FT250AUNVG1044,AC,40,2.8,3.1,,5,92.4 in,2024-08-19,120,277,No,TRUE,2.39,229,0,229.4,35,87,110,6,,,2.39,229,34,87,110,6,,,96.2,96.2,0,0.996,8.4,96.15,120,0.996,8.4,,0-10V Other Protocol
GML Solutions Ltd.,Grand Master LEDs,Tarantula Reproduction Bar,GMLL0018W4L1A15A1,AC,40,1.32,1.28,,5,45.6 in,2024-01-15,100,277,No,,2.39,43,42.6,42.6,15,15,12,1,,,2.39,43,15,15,12,1,,,18,18,18,0.989,13.6,17.81,120,0.954,15.5,,
Megaphoton Inc.,MEGAPHOTON,FULL SPECTRUM LED GROW LIGHT,ML-TYT10000B,AC,35,42.8,2.24,,5,45.6 in,2023-04-10,100,277,No,TRUE,2.38,2451,,,416,1026,1009,10,,,2.38,2451,416,1026,1009,10,,,1031,1031,0,0.998,3,1031,120,0.998,2.8,,0-10V Other Protocol
"Ekin Technology (Shenzhen) Co., Ltd",Ekin,LED Bar Light,B600 PRO,AC,35,42.52,1.57,,5,44.4 in,2023-08-14,120,277,Yes,TRUE,2.38,1867,8,1800,286,689,894,50,,,2.38,1867,286,689,894,50,,,720,720,720,0.997,5,785.4,120,0.936,12.1,,0-10V Other Protocol
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LED-480-I,AC,40,43.2,3.12,,5,48.0 in,2024-09-19,120,277,No,TRUE,2.38,1165,110,1160,144,557,464,30,,,2.38,1165,144,557,464,30,,,480,480,70,0.995,3.3,489.1,120,0.995,3.3,,0-10V ANSI C137.1 (8V)
Fluence Bioengineering,Fluence,VYPR 3x,"VR-3X-BW4-[LVG,HVG]-[S,B]",AC,40,2.91,3.23,,5,24.0 in,2021-05-28,120,480,No,TRUE,2.37,867,,,165,355,347,21,,,2.37,867,165,355,347,21,,,366,366,0,0.934,11,365.8,120,0.935,10.8,,0-10V Other Protocol
"Guangzhou Yuhui Lighting Industrial Co.,Ltd.",Zeestarled,LED Horticultural Luminaires,YH-GLT10-6FT-30W-WF,AC,50,1.18,1.18,,5,70.8 in,2024-08-14,100,240,No,,2.37,71,0,120,19,32,20,1,,,2.37,71,19,32,20,1,,,30,30,0,0.967,18.1,29.92,120,0.961,19.3,,
"Guangzhou Yuhui Lighting Industrial Co.,Ltd.",Zeestarled,LED Horticultural Luminaires,YH-GLT10-6FT-30W-WF,AC,50,1.18,1.18,,5,70.8 in,2024-08-14,100,240,No,,2.37,71,0,120,19,32,20,1,,,2.37,71,19,32,20,1,,,30,30,0,0.967,18.1,29.92,120,0.961,19.3,,
GML Solutions Ltd.,Grand Master LEDs,Tarantula Leafy Green Bar,GMLL0024W4L1B24A1,AC,40,1.32,1.28,,5,45.6 in,2024-01-15,100,277,No,,2.37,60,60.4,60.4,14,29,18,6,,,2.37,60,14,29,18,6,,,26,26,26,0.99,9.6,25.51,120,0.954,10.2,,
"Jiangmen Potop Lighting Co., Ltd",POTOP,LED Horticultural Lighting,PT-GL02-960-01-X-XX(Where the first “X” represents the color of Enclosure. The ”XX” represents the length of Power Supply Cord.),AC,40,60,2.25,,5,48.0 in,2023-06-13,100,277,No,TRUE,2.36,2265,0,2448,399,772,1108,41,,,2.27,2265,399,772,1108,41,,,960,960,5,1,2,996.5,120,0.958,1.9,,"0-10V Other Protocol, 0"
Bright GM LLC,DEMETER,Plant Growth Lamp,DMJK-3.0I Plant light 1 generation,AC,40,13.2,7.6,,5,18.0 in,2023-11-30,120,277,No,TRUE,2.36,2154,0,2154.2,474,605,1084,77,,,2.36,2154,474,605,1084,77,,,911,910.9,0,0.99,8,910.9,120,0.988,7.8,,0-10V Other Protocol
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GLL02-320WU1NA1-aIST2Weg,AC,45,4.13,2.83,,5,21.6 in,2023-10-31,120,277,No,TRUE,2.36,763,76.3,755,141,267,355,12,,,2.36,763,141,267,355,12,,,324,320,32,0.9,15,323.7,120,0.966,9,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GLS03-1000WS1NA1-aIST2Wegj,AC,45,15.51,3.94,,5,33.6 in,2023-10-30,120,277,No,TRUE,2.35,2376,237.6,2350,457,826,1093,34,,,,,,,,,,,1011,1000,100,0.9,15,,,,,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
Ferme d’Hiver Technologies Inc.,Ferme d’Hiver,Horticultural Lighting Equipment and Systems,FH_22_X_X-LITE_5002,AC,40,3.7,1.8,,5,46.8 in,2024-05-02,277,480,No,TRUE,2.35,1271,0,1271,240,314,717,62,,,2.35,1271,240,314,717,62,,,560,560,0,0.988,8,540.1,277,0.988,8.1,,0-10V ANSI C137.1 (8V)
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L48 BRI SEFY,AC,40,1.5,2,,,46.8 in,2021-04-13,120,277,No,TRUE,2.35,75,,,12,27,36,1,76,2.39,2.33,74.864,11.593,26.964,36.269,1.202,,,32,32,3.5,0.934,9,32.1,,0.93,7.6,,0-10V Other Protocol
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GLS03-1200WS1NA1-aIST2Wegj,AC,45,15.51,3.94,,5,33.6 in,2023-10-30,120,277,No,TRUE,2.34,2826,282.6,2808,550,980,1297,40,,,,,,,,,,,1210,1200,120,0.9,15,,,,,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
LUMLUX CORP,Lumlux,LED Lighting,LFHN600T0WRD06,AC,25,44.08,2.93,,5,42.0 in,2024-12-04,120,277,No,TRUE,2.34,1442,0,1441.6,226,537,679,26,,,2.34,1442,226,537,679,26,,,616.42,616.4,0,0.95,8.8,616.42,120,0.95,8.8,,0-10V IEC60929 Annex E
"GrowRay Technologies, Inc.","GrowRay Technologies, Inc.",TR6,"TR6-LV-600-[AF,RE]-[15,DC]-[615,620,L715,L720,L2420,L820,HW]-[00,03,06]-[01,02]-[00,AC,DC]",AC,40,40.2,3,,7,45.6 in,2024-07-12,220,277,No,,2.34,1410,,,137,432,841,58,,,,,,,,,,,611,,,0.972,12,,,,,,
"GrowRay Technologies, Inc.","GrowRay Technologies, Inc.",TR6,"TR6-HV-600-[AF,RE]-[15,DC]-[615,620,L715,L720,L2420,L820,HW]-[00,03,06]-[01,02]-[00,AC,DC]",AC,40,40.2,3,,7,45.6 in,2024-07-12,347,480,No,,2.34,1410,,,137,432,841,58,,,2.34,1410,137,432,841,58,,,602,,,0.935,12,602.1,347,0.935,11.5,,
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LED-GH001,AC,40,4.8,6.24,,5,43.2 in,2024-11-05,200,277,No,TRUE,2.34,1108,110,1100,135,530,444,31,,,2.34,1108,135,530,444,31,,,480,480,50,0.999,2,472.7,200,0.999,2.3,,0-10V ANSI C137.1 (8V)
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GLL02-1000WU1NA1-aIST2Weg,AC,45,6.3,3.23,,5,42.0 in,2023-10-31,120,277,No,TRUE,2.33,2367,236.7,2330,433,822,1112,31,,,2.33,2367,433,822,1112,31,,,1015,1000,100,0.9,15,1015.28,120,0.967,7.4,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GLS03-800WS1NA1-aIST2Wegj,AC,45,15.51,3.94,,5,21.6 in,2023-10-30,120,277,No,TRUE,2.33,1904,190.4,1864,363,661,880,27,,,2.33,1904,363,661,880,27,,,816,800,80,0.9,15,815.59,120,0.978,6.7,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LEDF-480,AC,40,43.2,3.12,,5,48.0 in,2024-07-31,110,277,No,TRUE,2.33,1042,110,1040,133,498,410,27,,,2.33,1042,133,498,410,27,,,480,480,70,0.997,4.5,447.4,120,0.997,4.5,,0-10V ANSI C137.1 (8V)
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,LED GROW LIGHT,EST-LEDF-480,AC,40,43.2,3.12,,5,48.0 in,2024-07-31,110,277,No,TRUE,2.33,1042,110,1040,133,498,410,27,,,2.33,1042,133,498,410,27,,,480,480,70,0.997,4.5,447.4,120,0.997,4.5,,0-10V ANSI C137.1 (8V)
"Agnetix, Inc.",ZENITH,ZENITH Double Density,"A3-1200-DDZ4-3[A,G,F][00,50,80,ML]",AC,60,3.7,5.2,,5,48.0 in,2022-08-01,277,277,No,TRUE,2.32,2740,,,497,1170,1092,43,,,2.32,2740,497,1170,1092,43,,,1200,1178,8,0.971,7,1178.9,277,0.971,7.8,,"Power Over Ethernet, Ethernet TCP/IP, Ethernet Proprietary, Bacnet, Rest API"
JumpLights,JumpLights,Prism Mini,PR170-M-480,AC,40,3,4,,5,40.8 in,2024-11-27,240,480,No,TRUE,2.32,394,0,394,90,169,134,8,403,2.4,2.3,394,90,169,134,8,403,2.4,169.9,169.9,1.6,0.989,10.1,169.944,240,0.934,17.4,,0-10V IEC60929 Annex E
Intravision Group AS,INTRAVISION,,"FB-8C[L,C][T,B,N,Y]M-SS[R,T,F]",AC,40,2.99,2.36,,5,105.6 in,2024-06-10,120,277,No,TRUE,2.31,245,0,244.8,24,73,148,1,,,,,,,,,,,105.84,105.84,0,0.955,10.7,,,,,,0-10V Other Protocol
FOHSE INC,FOHSE,Sirius 60W 277V,Sirius 60W 277V,AC,40,45.5,5,,5,21.6 in,2021-10-22,100,277,No,TRUE,2.31,145,,,44,67,35,3,,,2.305,145.4,43.5,66.6,35.4,2.6,,,63.07,63,0,0.992,3.3,63.07,120,0.962,3.8,,0-10V IEC60929 Annex E
Rayonled Lighting Systems Inc.,Rayonled,Horticultural Lighting Fixture,GLMF-720W-120V,AC,45,41.97,3.8,,5,48.0 in,2023-06-30,100,277,No,TRUE,2.3,1709,0,1709.3,314,712,696,45,,,2.3,1709,314,712,696,45,,,742,742,0,0.9,17,742,100,0.955,17.3,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V)"
BAIYI LIGHTING (SHANGHAI) HOLDINGS LIMITED,BAIYILED,,BY-ZW20720U,AC,45,41.97,3.8,,5,48.0 in,2023-04-27,100,277,No,TRUE,2.3,1709,0,1709.3,314,712,696,45,,,2.3,1709,314,712,696,45,,,742,742,0,0.9,17,742,100,0.955,17.3,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V)"
